client_name,calorie_deficit,cardio_mins,sleep,weight_loss
Rohan Patel,443.0,63.0,7.1,2.61
Priya Sharma,446.0,56.0,9.4,2.18
Rohan Williams,725.0,28.0,9.3,2.5
John Singh,16.0,36.0,8.9,1.56
Priya Sharma,341.0,35.0,7.1,1.66
Jane Gupta,819.0,68.0,8.4,3.06
Priya Kumar,603.0,14.0,7.1,2.27
Emily Sharma,337.0,110.0,9.2,2.41
Neha Gupta,906.0,86.0,6.4,3.48
Emily Doe,773.0,48.0,9.8,3.02
Michael Smith,265.0,19.0,9.6,1.77
Sarah Reddy,645.0,106.0,8.4,3.28
David Smith,596.0,99.0,5.7,2.62
Sarah Kumar,401.0,87.0,4.8,2.36
Rohan Patel,367.0,33.0,9.1,1.86
David Kumar,344.0,48.0,5.0,1.75
Michael Kumar,617.0,12.0,9.1,2.52
Rohan Sharma,442.0,23.0,6.9,2.08
David Singh,832.0,94.0,6.4,3.19
Neha Patel,670.0,86.0,9.4,3.23
David Doe,70.0,71.0,7.6,1.54
Sarah Johnson,640.0,107.0,7.5,3.6
Sarah Sharma,271.0,70.0,7.4,2.13
Neha Patel,593.0,56.0,6.2,2.39
Rohan Gupta,680.0,41.0,8.7,2.7
John Smith,231.0,113.0,5.5,2.22
Jane Doe,457.0,10.0,9.6,2.06
Priya Patel,190.0,112.0,9.4,2.39
Neha Reddy,52.0,99.0,6.0,1.62
Emily Williams,378.0,16.0,8.4,1.72
Jane Reddy,363.0,68.0,7.4,1.92
Neha Williams,995.0,104.0,6.0,3.78
Neha Williams,446.0,69.0,9.9,2.41
Jane Gupta,334.0,109.0,4.2,1.96
Rohan Johnson,580.0,113.0,5.5,2.84
Priya Sharma,89.0,51.0,7.1,1.37
Neha Sharma,962.0,45.0,7.1,3.14
Priya Williams,635.0,112.0,7.5,3.03
David Johnson,755.0,81.0,8.5,3.09
Aarav Johnson,170.0,14.0,7.7,1.39
Rohan Johnson,409.0,5.0,7.6,1.76
Priya Smith,423.0,68.0,4.3,2.07
Priya Gupta,822.0,112.0,6.3,3.39
John Smith,1.0,101.0,5.4,1.59
Priya Kumar,301.0,81.0,5.6,2.02
John Smith,981.0,17.0,7.3,2.73
