employee_name,deep_work_hrs,meetings,coffee,tasks_done
Rohan Patel,1.0,5.0,5.0,2.0
Priya Sharma,3.9,2.0,5.0,5.0
Rohan Williams,5.0,2.0,1.0,5.0
John Singh,6.6,1.0,0.0,11.0
Priya Sharma,5.4,3.0,5.0,7.0
Jane Gupta,0.5,2.0,4.0,2.0
Priya Kumar,2.5,4.0,1.0,0.0
Emily Sharma,2.3,1.0,4.0,1.0
Neha Gupta,7.3,1.0,3.0,12.0
Emily Doe,6.9,1.0,5.0,12.0
Michael Smith,3.0,0.0,1.0,5.0
Sarah Reddy,0.6,3.0,3.0,3.0
David Smith,7.2,1.0,1.0,9.0
Sarah Kumar,7.1,1.0,6.0,13.0
Rohan Patel,6.8,0.0,5.0,15.0
David Kumar,6.8,4.0,4.0,8.0
Michael Kumar,3.8,4.0,4.0,4.0
Rohan Sharma,1.4,1.0,3.0,0.0
David Singh,3.8,4.0,6.0,9.0
Neha Patel,4.0,2.0,0.0,1.0
David Doe,3.9,1.0,5.0,9.0
Sarah Johnson,4.3,3.0,1.0,3.0
Sarah Sharma,2.1,1.0,2.0,2.0
Neha Patel,2.9,4.0,3.0,5.0
Rohan Gupta,3.5,0.0,5.0,6.0
John Smith,1.0,5.0,5.0,1.0
Jane Doe,3.6,0.0,4.0,9.0
Priya Patel,6.5,3.0,2.0,9.0
Neha Reddy,6.6,5.0,6.0,11.0
Emily Williams,3.3,0.0,1.0,6.0
Jane Reddy,4.2,2.0,5.0,7.0
Neha Williams,0.3,2.0,4.0,0.0
Neha Williams,5.4,3.0,2.0,10.0
Jane Gupta,3.2,1.0,0.0,5.0
Rohan Johnson,3.6,0.0,3.0,7.0
Priya Sharma,7.0,3.0,2.0,10.0
Neha Sharma,3.7,2.0,1.0,3.0
Priya Williams,0.2,3.0,0.0,0.0
David Johnson,1.8,1.0,2.0,5.0
Aarav Johnson,3.8,2.0,4.0,4.0
Rohan Johnson,3.4,3.0,5.0,6.0
Priya Smith,6.9,3.0,1.0,9.0
Priya Gupta,4.3,2.0,3.0,6.0
John Smith,5.5,1.0,2.0,7.0
Priya Kumar,3.8,1.0,3.0,8.0
John Smith,3.5,1.0,5.0,7.0
Michael Williams,3.6,2.0,3.0,5.0
Rohan Williams,3.3,1.0,5.0,7.0
David Singh,4.3,3.0,3.0,5.0
David Gupta,2.0,3.0,4.0,1.0
Neha Smith,7.1,2.0,3.0,11.0
Rohan Singh,2.7,2.0,5.0,5.0
Priya Sharma,1.2,1.0,6.0,1.0
John Gupta,0.8,3.0,4.0,0.0
Emily Kumar,0.1,5.0,5.0,0.0
Aarav Kumar,3.4,3.0,0.0,0.0
Michael Kumar,1.5,4.0,5.0,3.0
Aarav Sharma,0.2,4.0,1.0,0.0
Sarah Singh,4.2,2.0,2.0,7.0
Rohan Johnson,5.4,0.0,0.0,5.0
Sarah Williams,0.7,3.0,6.0,1.0
John Singh,3.7,1.0,5.0,6.0
Aarav Patel,5.9,3.0,5.0,7.0
Jane Sharma,7.9,4.0,5.0,11.0
Rohan Singh,5.3,4.0,3.0,4.0
Jane Singh,2.0,2.0,6.0,5.0
John Reddy,5.7,3.0,6.0,11.0
Neha Williams,4.8,3.0,3.0,7.0
David Sharma,1.7,4.0,1.0,0.0
Emily Patel,6.8,4.0,4.0,11.0
Sarah Singh,3.4,5.0,6.0,4.0
David Singh,7.7,0.0,5.0,13.0
Aarav Smith,5.8,2.0,5.0,9.0
David Johnson,5.2,1.0,6.0,9.0
Jane Johnson,5.8,1.0,5.0,9.0
John Singh,3.8,5.0,5.0,6.0
Emily Gupta,4.0,5.0,4.0,5.0
David Sharma,6.8,1.0,2.0,8.0
Aarav Kumar,5.4,0.0,4.0,9.0
Sarah Gupta,7.2,1.0,3.0,10.0
Emily Gupta,7.1,4.0,5.0,10.0
David Patel,7.8,1.0,3.0,14.0
Aarav Smith,5.6,0.0,1.0,9.0
Sarah Patel,4.0,0.0,0.0,5.0
Rohan Doe,1.3,2.0,4.0,2.0
John Smith,5.6,5.0,3.0,4.0
Michael Smith,2.3,1.0,2.0,1.0
Priya Smith,2.3,2.0,1.0,3.0
Aarav Doe,1.9,1.0,3.0,6.0
Neha Reddy,7.0,2.0,1.0,8.0
Rohan Sharma,6.9,3.0,2.0,9.0
Aarav Smith,5.0,1.0,2.0,9.0
John Doe,3.8,1.0,3.0,3.0
Michael Williams,5.4,4.0,3.0,5.0
Emily Singh,4.9,0.0,2.0,11.0
Jane Singh,3.3,3.0,5.0,4.0
Priya Smith,3.0,2.0,2.0,4.0
Emily Gupta,3.1,1.0,1.0,3.0
Michael Patel,4.7,3.0,1.0,2.0
Neha Reddy,5.2,4.0,2.0,6.0
Emily Smith,3.6,3.0,0.0,3.0
David Reddy,7.7,0.0,0.0,12.0
John Patel,0.7,2.0,4.0,1.0
