student_name,study_hours,attendance,sleep,marks
Rohan Patel,9.0,66.6,3.3,84.5
Rahul Smith,9.1,64.2,2.6,72.7
David Singh,9.4,98.1,3.5,90.9
Sarah Sharma,9.7,60.4,4.2,88.5
Lakshmi Williams,9.2,83.0,4.0,90.7
Aarav Singh,9.9,63.1,4.2,87.2
Jane Brown,8.8,98.3,3.9,95.0
Rahul Reddy,9.0,93.5,4.3,81.2
Michael Iyer,10.0,84.5,3.9,93.6
Priya Reddy,8.2,88.6,2.7,85.7
Neha Brown,11.6,84.3,3.4,100.0
Emily Sharma,8.8,73.1,3.4,75.1
Sarah Gupta,10.1,67.5,3.5,79.8
Neha Reddy,11.2,85.6,3.3,95.5
Rahul Reddy,10.1,99.3,3.0,98.3
Rohan Patel,11.7,60.6,2.0,90.9
Sita Gupta,9.0,87.3,2.4,71.6
Karthik Patel,11.3,97.8,4.0,100.0
Sarah Reddy,9.5,77.1,3.6,90.6
Rahul Patel,11.7,72.7,3.7,100.0
Aarav Rao,10.5,92.3,3.5,95.5
Michael Williams,11.0,65.8,3.4,76.8
Sai Johnson,11.3,71.7,3.3,87.9
Rahul Singh,8.0,61.1,4.3,86.6
Lakshmi Williams,11.7,65.1,3.3,90.5
Michael Kumar,10.4,69.5,2.7,78.7
Rohan Reddy,10.3,76.3,3.5,81.4
John Rao,10.4,75.7,3.4,88.3
Rohan Smith,8.5,78.5,2.2,81.0
Jane Reddy,9.9,80.4,3.9,90.7
Lakshmi Brown,9.4,63.2,4.0,87.2
Ananya Patel,9.1,92.6,4.3,90.4
Priya Rao,9.9,93.9,2.5,92.7
Karthik Johnson,11.3,87.9,3.0,100.0
Ananya Singh,11.8,68.3,4.3,94.5
John Patel,10.2,91.2,2.8,89.2
Jane Singh,9.3,75.6,3.1,83.4
Rohan Gupta,8.9,73.8,2.0,74.8
Ananya Johnson,9.6,84.9,2.4,80.4
Priya Williams,11.3,81.1,3.3,95.7
Sita Sharma,9.9,78.2,4.2,86.9
Sai Gupta,8.5,87.6,4.5,80.1
Jane Singh,9.4,63.9,2.2,86.4
Ananya Sharma,11.8,70.0,3.7,100.0
Emily Smith,10.0,61.6,4.5,87.6
Emily Smith,8.1,72.0,2.7,80.9
Ananya Iyer,11.6,65.9,2.6,88.0
Arjun Johnson,10.7,86.1,3.9,87.4
Priya Brown,10.7,62.6,3.6,90.3
Ananya Gupta,9.2,73.9,2.4,80.8
Emily Rao,9.2,90.3,4.4,92.5
Sarah Doe,11.8,67.8,3.8,93.7
Lakshmi Rao,8.3,84.2,4.3,88.3
Emily Sharma,9.1,70.3,3.6,82.4
Karthik Iyer,10.0,65.9,4.5,77.4
Aarav Patel,9.2,69.9,2.4,79.3
Michael Kumar,10.4,85.5,2.9,86.9
Ananya Sharma,8.1,89.1,2.2,85.5
Sai Singh,8.0,60.0,3.7,70.0
Emily Gupta,11.8,76.8,3.0,99.1
Priya Iyer,10.0,81.7,2.8,95.1
Aarav Kumar,9.8,86.2,2.8,83.3
Karthik Reddy,10.3,73.7,3.1,88.4
Aarav Brown,10.6,94.2,2.2,94.2
